Car Name,Link,Year,KM,Type,CC,Type 2,GRADE
Opel Crossland (X) Diesel Innovation 88 kW,https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw,2017,69000,Diesel,1800,Manual,
Opel Crossland (X) Diesel Innovation 88 kW,https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw,2017,69000,Diesel,1800,Manual,
Volkswagen T-Roc TSi 110 kW,https://carvago.com/car/51335428/volkswagen-t-roc-tsi-110-kw,2022,7866,Petrol,2250,Manual,
Volkswagen T-Roc TSi 110 kW,https://carvago.com/car/51335428/volkswagen-t-roc-tsi-110-kw,2022,7866,Petrol,2250,Manual,
Volkswagen T-Roc TSi 110 kW,https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw,2022,5400,Petrol,2250,Manual,
Volkswagen T-Roc TSi 110 kW,https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw,2022,5400,Petrol,2250,Manual,
Kia XCeed 103 kW,https://carvago.com/car/50175449/kia-xceed-103-kw,2020,19500,Petrol,2100,Manual,
Kia XCeed 103 kW,https://carvago.com/car/50175449/kia-xceed-103-kw,2020,19500,Petrol,2100,Manual,
Opel Corsa 120 Jahre 51 kW,https://carvago.com/car/52043644/opel-corsa-120-jahre-51-kw,2019,22889,Petrol,1035,Manual,
Opel Corsa 120 Jahre 51 kW,https://carvago.com/car/52043644/opel-corsa-120-jahre-51-kw,2019,22889,Petrol,1035,Manual,
Ford Fusion 1.4 Style 59 kW,https://carvago.com/car/50023756/ford-fusion-1-4-style-59-kw,2009,85000,Petrol,1200,Manual,
Ford Fusion 1.4 Style 59 kW,https://carvago.com/car/50023756/ford-fusion-1-4-style-59-kw,2009,85000,Petrol,1200,Manual,
Mercedes-Benz E 350 T 4Matic 200 kW,https://carvago.com/car/50053155/mercedes-benz-e-350-t-4matic-200-kw,2009,163000,Petrol,4080,Automatic,4
Toyota Land Cruiser 4.0 V6 200 kW,https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw,2022,20,Petrol,4080,Manual,4
Dodge RAM Quad Cab 295 kW,https://carvago.com/car/51053584/dodge-ram-quad-cab-295-kw,2019,14100,Petrol,6015,Automatic,
Dodge RAM Quad Cab 295 kW,https://carvago.com/car/51053584/dodge-ram-quad-cab-295-kw,2019,14100,Petrol,6015,Automatic,
Dodge RAM 295 kW,https://carvago.com/car/52172049/dodge-ram-295-kw,2022,308,LPG,6015,Automatic,4
Dodge Charger 362 kW,https://carvago.com/car/52234109/dodge-charger-362-kw,2021,21400,Petrol,7380,Automatic,
Dodge Charger 362 kW,https://carvago.com/car/52234109/dodge-charger-362-kw,2021,21400,Petrol,7380,Automatic,
Fiat Grande Punto 1.2 8V Active 48 kW,https://carvago.com/car/51252657/fiat-grande-punto-1-2-8v-active-48-kw,2009,146000,Petrol,975,Manual,
Fiat Grande Punto 1.2 8V Active 48 kW,https://carvago.com/car/51252657/fiat-grande-punto-1-2-8v-active-48-kw,2009,146000,Petrol,975,Manual,
Audi S3 2.0 TFSI Quattro 228 kW,https://carvago.com/car/49934907/audi-s3-2-0-tfsi-quattro-228-kw,2021,14470,Petrol,4650,Automatic,4
Opel Insignia 221 kW,https://carvago.com/car/52016743/opel-insignia-221-kw,2009,135000,Petrol,4500,Manual,4
Chevrolet Matiz 0.8 S 38 kW,https://carvago.com/car/52073956/chevrolet-matiz-0-8-s-38-kw,2009,56157,Petrol,780,Manual,
Chevrolet Matiz 0.8 S 38 kW,https://carvago.com/car/52073956/chevrolet-matiz-0-8-s-38-kw,2009,56157,Petrol,780,Manual,
Chevrolet Spark 1.0 LS 50 kW,https://carvago.com/car/51069074/chevrolet-spark-1-0-ls-50-kw,2011,133000,Petrol,1020,Manual,
Chevrolet Spark 1.0 LS 50 kW,https://carvago.com/car/51069074/chevrolet-spark-1-0-ls-50-kw,2011,133000,Petrol,1020,Manual,
DS Automobiles DS9 1.6 E-Tense EAT8 165 kW,https://carvago.com/car/51869673/ds-automobiles-ds9-1-6-e-tense-eat8-165-kw,2021,6861,Hybrid,3360,Automatic,
